event_id,event_type,user_id,item_id,order_id,session_id,ts,payload
36,AddToCart,425,250,,sess_425_1852,2025-12-02T18:30:37+00:00,"{""price"":""21646.14"",""quantity"":1}"
37,CatalogViewed,48,603,,sess_48_4524,2025-12-02T18:45:32+00:00,"{""category_id"":5,""source"":""catalog""}"
38,RecommendationClicked,529,172,,sess_529_1598,2025-12-02T18:46:00+00:00,"{""action"":""click"",""request_id"":940}"
39,CatalogViewed,113,507,,sess_113_6270,2025-12-02T19:20:59+00:00,"{""category_id"":7,""source"":""catalog""}"
40,RecommendationShown,410,,,sess_410_8115,2025-12-02T19:26:23+00:00,"{""context"":""catalog"",""items"":[377,798,12,739,850,1106,676,1102,915,430],""model_version"":""recs_rank_v7"",""request_id"":948}"
41,CatalogViewed,47,519,,sess_47_7360,2025-12-02T19:26:29+00:00,"{""category_id"":18,""source"":""catalog""}"
42,RecommendationShown,294,489,,sess_294_7551,2025-12-02T19:44:03+00:00,"{""context"":""cart"",""items"":[297,245,182,338,771,711,977,528,186,531],""model_version"":""recs_rank_v6"",""request_id"":253}"
43,AddToCart,417,661,,sess_417_3701,2025-12-02T20:21:47+00:00,"{""price"":""48192.45"",""quantity"":3}"
44,RecommendationShown,594,,,sess_594_2001,2025-12-02T20:50:05+00:00,"{""context"":""catalog"",""items"":[587,82,1115,418,692,182,168,531,338,1071],""model_version"":""recs_rank_v6"",""request_id"":185}"
45,RecommendationShown,275,,,sess_275_9981,2025-12-02T20:55:50+00:00,"{""context"":""catalog"",""items"":[735,592,852,1063,575,1021,1045,916,674,1041],""model_version"":""recs_rank_v6"",""request_id"":595}"
46,RecommendationClicked,294,338,,sess_294_8049,2025-12-02T21:09:56+00:00,"{""action"":""click"",""request_id"":253}"
47,RecommendationShown,245,1180,,sess_245_8039,2025-12-02T21:39:44+00:00,"{""context"":""item"",""items"":[443,142,820,50,397,346,946,1033,956,862],""model_version"":""recs_rank_v5"",""request_id"":1}"
48,RecommendationShown,120,,,sess_120_7161,2025-12-02T22:14:46+00:00,"{""context"":""catalog"",""items"":[1189,590,85,96,182,203,1084,26,25,720],""model_version"":""recs_rank_v6"",""request_id"":244}"
49,RecommendationShown,212,,,sess_212_6819,2025-12-02T22:26:23+00:00,"{""context"":""cart"",""items"":[634,309,145,1186,873,180,518,916,457,783],""model_version"":""recs_rank_v6"",""request_id"":281}"
50,RecommendationShown,470,675,,sess_470_9238,2025-12-02T22:30:43+00:00,"{""context"":""cart"",""items"":[1049,242,1196,967,1039,277,516,652,133,311],""model_version"":""recs_rank_v6"",""request_id"":1009}"
51,CatalogViewed,122,803,,sess_122_4611,2025-12-02T22:33:23+00:00,"{""category_id"":15,""source"":""catalog""}"
52,RecommendationDisliked,509,4,,sess_509_5024,2025-12-02T22:42:48+00:00,"{""action"":""dislike"",""request_id"":1345}"
53,RecommendationClicked,568,115,,sess_568_9294,2025-12-02T22:52:34+00:00,"{""action"":""click"",""request_id"":822}"
54,AddToCart,235,613,,sess_235_6232,2025-12-02T22:54:56+00:00,"{""price"":""130424.58"",""quantity"":2}"
55,OrderCreated,272,,500264,,2025-12-02T22:55:35+00:00,"{""currency"":""RUB"",""items"":[{""item_id"":41,""price"":""10928.16"",""qty"":2}],""total"":""21856.32""}"
56,RecommendationShown,508,,,sess_508_5952,2025-12-02T22:57:29+00:00,"{""context"":""catalog"",""items"":[982,247,326,319,99,675,736,561,1078,916],""model_version"":""recs_rank_v5"",""request_id"":1106}"
57,CatalogViewed,35,317,,sess_35_4466,2025-12-02T23:01:43+00:00,"{""category_id"":12,""source"":""catalog""}"
58,RecommendationClicked,509,614,,sess_509_5669,2025-12-02T23:21:16+00:00,"{""action"":""click"",""request_id"":1345}"
59,AddToCart,34,879,,sess_34_7114,2025-12-02T23:26:09+00:00,"{""price"":""111106.24"",""quantity"":3}"
60,RecommendationShown,490,,,sess_490_1631,2025-12-02T23:30:26+00:00,"{""context"":""catalog"",""items"":[943,248,263,51,27,1092,962,839,1024,969],""model_version"":""recs_rank_v4"",""request_id"":1107}"
61,RecommendationClicked,245,1033,,sess_245_1216,2025-12-02T23:34:51+00:00,"{""action"":""click"",""request_id"":1}"
62,RecommendationClicked,509,402,,sess_509_9177,2025-12-02T23:52:43+00:00,"{""action"":""click"",""request_id"":1345}"
63,AddToCart,47,670,,sess_47_9536,2025-12-02T23:55:35+00:00,"{""price"":""4497.45"",""quantity"":1}"
64,CatalogViewed,64,1028,,sess_64_9407,2025-12-03T00:09:58+00:00,"{""category_id"":3,""source"":""catalog""}"
65,CatalogViewed,400,1113,,sess_400_9580,2025-12-03T00:36:24+00:00,"{""category_id"":15,""source"":""catalog""}"
66,RecommendationShown,256,,,sess_256_2525,2025-12-03T00:41:46+00:00,"{""context"":""catalog"",""items"":[69,588,1091,1160,816,637,49,887,38,147],""model_version"":""recs_rank_v7"",""request_id"":1022}"
67,AddToCart,470,256,,sess_470_4294,2025-12-03T01:19:33+00:00,"{""price"":""10358.25"",""quantity"":2}"
68,CatalogViewed,543,625,,sess_543_6342,2025-12-03T01:20:13+00:00,"{""category_id"":15,""source"":""catalog""}"
69,RecommendationClicked,529,464,,sess_529_4315,2025-12-03T01:53:22+00:00,"{""action"":""click"",""request_id"":940}"
70,AddToCart,328,1069,,sess_328_5342,2025-12-03T02:02:19+00:00,"{""price"":""7424.95"",""quantity"":2}"
71,CatalogViewed,524,550,,sess_524_5889,2025-12-03T02:16:05+00:00,"{""category_id"":16,""source"":""catalog""}"
72,CatalogViewed,404,1063,,sess_404_2735,2025-12-03T02:17:20+00:00,"{""category_id"":13,""source"":""catalog""}"
73,RecommendationClicked,490,969,,sess_490_3667,2025-12-03T02:33:57+00:00,"{""action"":""click"",""request_id"":1107}"
74,CatalogViewed,278,144,,sess_278_8484,2025-12-03T02:45:51+00:00,"{""category_id"":17,""source"":""catalog""}"
75,AddToCart,143,355,,sess_143_6032,2025-12-03T02:59:35+00:00,"{""price"":""1300.53"",""quantity"":1}"
76,CatalogViewed,11,450,,sess_11_3294,2025-12-03T03:07:01+00:00,"{""category_id"":20,""source"":""catalog""}"
77,CatalogViewed,65,87,,sess_65_8335,2025-12-03T03:10:34+00:00,"{""category_id"":17,""source"":""catalog""}"
78,RecommendationClicked,594,587,,sess_594_4769,2025-12-03T03:20:10+00:00,"{""action"":""click"",""request_id"":185}"
79,OrderPaid,334,,500160,,2025-12-03T03:26:49+00:00,"{""items"":[{""item_id"":472,""price"":""2545.06"",""qty"":2},{""item_id"":794,""price"":""2018.62"",""qty"":1},{""item_id"":244,""price"":""28161.36"",""qty"":1},{""item_id"":1147,""price"":""1763.74"",""qty"":1}],""payment_method"":""sbp"",""total"":""37033.84""}"
80,OrderCreated,22,,500198,,2025-12-03T03:32:30+00:00,"{""currency"":""RUB"",""items"":[{""item_id"":758,""price"":""7052.41"",""qty"":1},{""item_id"":466,""price"":""7620.47"",""qty"":2},{""item_id"":1009,""price"":""15203.45"",""qty"":1},{""item_id"":505,""price"":""22543.05"",""qty"":2}],""total"":""82582.90""}"
81,RecommendationClicked,508,982,,sess_508_9896,2025-12-03T03:52:16+00:00,"{""action"":""click"",""request_id"":1106}"
82,CatalogViewed,99,39,,sess_99_5723,2025-12-03T03:52:59+00:00,"{""category_id"":2,""source"":""catalog""}"
83,RecommendationShown,590,,,sess_590_8026,2025-12-03T03:54:42+00:00,"{""context"":""catalog"",""items"":[962,612,1058,1092,1042,825,895,81,26,827],""model_version"":""recs_rank_v6"",""request_id"":492}"
84,AddToCart,429,475,,sess_429_1137,2025-12-03T03:56:26+00:00,"{""price"":""2689.03"",""quantity"":1}"
85,CatalogViewed,143,2,,sess_143_7411,2025-12-03T04:10:02+00:00,"{""category_id"":14,""source"":""catalog""}"
86,RecommendationDisliked,470,1049,,sess_470_2167,2025-12-03T04:14:12+00:00,"{""action"":""dislike"",""request_id"":1009}"
87,RecommendationClicked,212,783,,sess_212_4858,2025-12-03T04:22:53+00:00,"{""action"":""click"",""request_id"":281}"
88,RecommendationClicked,245,443,,sess_245_6137,2025-12-03T04:28:13+00:00,"{""action"":""click"",""request_id"":1}"
89,RecommendationClicked,176,40,,sess_176_7717,2025-12-03T04:28:30+00:00,"{""action"":""click"",""request_id"":752}"
90,OrderCreated,324,,500144,,2025-12-03T04:41:37+00:00,"{""currency"":""RUB"",""items"":[{""item_id"":418,""price"":""2833.74"",""qty"":2},{""item_id"":424,""price"":""55059.81"",""qty"":2}],""total"":""115787.10""}"
91,OrderCreated,68,,500134,,2025-12-03T04:46:55+00:00,"{""currency"":""RUB"",""items"":[{""item_id"":846,""price"":""12110.08"",""qty"":1},{""item_id"":674,""price"":""9858.62"",""qty"":2},{""item_id"":656,""price"":""16693.51"",""qty"":1}],""total"":""48520.83""}"
92,RecommendationClicked,176,1045,,sess_176_4603,2025-12-03T04:47:41+00:00,"{""action"":""click"",""request_id"":752}"
93,RecommendationShown,526,,,sess_526_3788,2025-12-03T05:05:38+00:00,"{""context"":""catalog"",""items"":[292,1066,890,129,1106,755,335,1166,855,5],""model_version"":""recs_rank_v6"",""request_id"":323}"
94,RecommendationShown,110,813,,sess_110_7845,2025-12-03T05:35:00+00:00,"{""context"":""item"",""items"":[436,902,1116,1183,259,825,529,789,223,747],""model_version"":""recs_rank_v5"",""request_id"":963}"
95,RecommendationClicked,294,977,,sess_294_3108,2025-12-03T05:35:36+00:00,"{""action"":""click"",""request_id"":253}"
96,CatalogViewed,299,862,,sess_299_9190,2025-12-03T05:53:46+00:00,"{""category_id"":2,""source"":""catalog""}"
97,CatalogViewed,435,1109,,sess_435_1250,2025-12-03T06:10:28+00:00,"{""category_id"":9,""source"":""catalog""}"
98,CatalogViewed,238,814,,sess_238_9248,2025-12-03T06:34:41+00:00,"{""category_id"":18,""source"":""catalog""}"
99,CatalogViewed,554,163,,sess_554_4621,2025-12-03T06:36:17+00:00,"{""category_id"":22,""source"":""catalog""}"
100,OrderCreated,200,,500201,,2025-12-03T06:40:58+00:00,"{""currency"":""RUB"",""items"":[{""item_id"":573,""price"":""22124.03"",""qty"":2},{""item_id"":681,""price"":""3152.49"",""qty"":2},{""item_id"":927,""price"":""21523.49"",""qty"":1}],""total"":""72076.53""}"
101,AddToCart,205,1032,,sess_205_6715,2025-12-03T07:18:13+00:00,"{""price"":""4641.33"",""quantity"":1}"
102,OrderPaid,200,,500201,,2025-12-03T07:19:58+00:00,"{""items"":[{""item_id"":573,""price"":""22124.03"",""qty"":2},{""item_id"":681,""price"":""3152.49"",""qty"":2},{""item_id"":927,""price"":""21523.49"",""qty"":1}],""payment_method"":""card"",""total"":""72076.53""}"
103,OrderPaid,324,,500144,,2025-12-03T07:41:37+00:00,"{""items"":[{""item_id"":418,""price"":""2833.74"",""qty"":2},{""item_id"":424,""price"":""55059.81"",""qty"":2}],""payment_method"":""card"",""total"":""115787.10""}"
104,CatalogViewed,308,344,,sess_308_5706,2025-12-03T08:31:08+00:00,"{""category_id"":12,""source"":""catalog""}"
105,CatalogViewed,249,732,,sess_249_5936,2025-12-03T08:38:52+00:00,"{""category_id"":6,""source"":""catalog""}"
106,CatalogViewed,394,160,,sess_394_1222,2025-12-03T09:29:37+00:00,"{""category_id"":1,""source"":""catalog""}"
107,RecommendationClicked,256,69,,sess_256_8886,2025-12-03T09:54:15+00:00,"{""action"":""click"",""request_id"":1022}"
108,RecommendationClicked,246,1099,,sess_246_8385,2025-12-03T10:20:21+00:00,"{""action"":""click"",""request_id"":1276}"
109,RecommendationClicked,120,182,,sess_120_1090,2025-12-03T10:21:15+00:00,"{""action"":""click"",""request_id"":244}"
110,CatalogViewed,69,714,,sess_69_1773,2025-12-03T10:33:32+00:00,"{""category_id"":9,""source"":""catalog""}"
111,AddToCart,242,1181,,sess_242_4157,2025-12-03T10:37:27+00:00,"{""price"":""7470.42"",""quantity"":1}"
112,RecommendationShown,492,,,sess_492_8424,2025-12-03T10:41:32+00:00,"{""context"":""catalog"",""items"":[1033,725,1163,1105,1198,284,874,191,1064,667],""model_version"":""recs_rank_v1"",""request_id"":1451}"
113,RecommendationShown,312,,,sess_312_8901,2025-12-03T11:04:45+00:00,"{""context"":""catalog"",""items"":[1088,1183,292,519,62,59,147,404,744,723],""model_version"":""recs_rank_v6"",""request_id"":1091}"
114,AddToCart,147,803,,sess_147_2034,2025-12-03T11:17:10+00:00,"{""price"":""5389.84"",""quantity"":1}"
115,CatalogViewed,389,322,,sess_389_6186,2025-12-03T11:31:53+00:00,"{""category_id"":1,""source"":""catalog""}"
116,RecommendationClicked,110,259,,sess_110_8252,2025-12-03T11:33:02+00:00,"{""action"":""click"",""request_id"":963}"
117,RecommendationClicked,492,874,,sess_492_1363,2025-12-03T11:40:16+00:00,"{""action"":""click"",""request_id"":1451}"
118,CatalogViewed,449,413,,sess_449_8514,2025-12-03T11:45:11+00:00,"{""category_id"":12,""source"":""catalog""}"
119,RecommendationDisliked,176,224,,sess_176_1255,2025-12-03T11:47:28+00:00,"{""action"":""dislike"",""request_id"":752}"
120,AddToCart,409,875,,sess_409_6995,2025-12-03T11:55:54+00:00,"{""price"":""2330.52"",""quantity"":1}"
121,RecommendationClicked,245,946,,sess_245_1474,2025-12-03T11:57:21+00:00,"{""action"":""click"",""request_id"":1}"
122,RecommendationClicked,529,782,,sess_529_8292,2025-12-03T12:03:13+00:00,"{""action"":""click"",""request_id"":940}"
123,AddToCart,569,536,,sess_569_9247,2025-12-03T12:31:25+00:00,"{""price"":""4885.69"",""quantity"":1}"
124,OrderPaid,22,,500198,,2025-12-03T12:51:30+00:00,"{""items"":[{""item_id"":758,""price"":""7052.41"",""qty"":1},{""item_id"":466,""price"":""7620.47"",""qty"":2},{""item_id"":1009,""price"":""15203.45"",""qty"":1},{""item_id"":505,""price"":""22543.05"",""qty"":2}],""payment_method"":""wallet"",""total"":""82582.90""}"
125,CatalogViewed,9,917,,sess_9_3314,2025-12-03T12:52:22+00:00,"{""category_id"":11,""source"":""catalog""}"
126,RecommendationClicked,503,1127,,sess_503_7225,2025-12-03T13:18:13+00:00,"{""action"":""click"",""request_id"":606}"
127,RecommendationDisliked,312,404,,sess_312_5464,2025-12-03T13:32:50+00:00,"{""action"":""dislike"",""request_id"":1091}"
128,OrderCreated,279,,500367,,2025-12-03T13:43:57+00:00,"{""currency"":""RUB"",""items"":[{""item_id"":96,""price"":""67079.31"",""qty"":1},{""item_id"":570,""price"":""55303.41"",""qty"":2},{""item_id"":855,""price"":""24768.27"",""qty"":1},{""item_id"":175,""price"":""13671.52"",""qty"":1}],""total"":""216125.92""}"
129,CatalogViewed,107,261,,sess_107_9706,2025-12-03T13:45:39+00:00,"{""category_id"":16,""source"":""catalog""}"
130,RecommendationShown,502,982,,sess_502_8689,2025-12-03T13:59:36+00:00,"{""context"":""cart"",""items"":[505,263,530,26,969,962,47,375,612,831],""model_version"":""recs_rank_v6"",""request_id"":688}"
131,CatalogViewed,600,313,,sess_600_4441,2025-12-03T14:27:44+00:00,"{""category_id"":13,""source"":""catalog""}"
132,CatalogViewed,105,813,,sess_105_4109,2025-12-03T14:33:53+00:00,"{""category_id"":6,""source"":""catalog""}"
133,AddToCart,381,694,,sess_381_6392,2025-12-03T14:34:27+00:00,"{""price"":""13559.57"",""quantity"":2}"
134,AddToCart,352,969,,sess_352_8133,2025-12-03T14:42:08+00:00,"{""price"":""36092.79"",""quantity"":2}"
135,CatalogViewed,67,38,,sess_67_7849,2025-12-03T14:55:05+00:00,"{""category_id"":16,""source"":""catalog""}"
136,CatalogViewed,198,103,,sess_198_8829,2025-12-03T14:56:11+00:00,"{""category_id"":16,""source"":""catalog""}"
137,RecommendationClicked,594,82,,sess_594_4684,2025-12-03T14:57:59+00:00,"{""action"":""click"",""request_id"":185}"
138,CatalogViewed,199,9,,sess_199_5773,2025-12-03T15:04:54+00:00,"{""category_id"":7,""source"":""catalog""}"
139,RecommendationClicked,490,839,,sess_490_1379,2025-12-03T15:08:31+00:00,"{""action"":""click"",""request_id"":1107}"
140,AddToCart,210,218,,sess_210_6490,2025-12-03T15:20:28+00:00,"{""price"":""13123.24"",""quantity"":2}"
141,CatalogViewed,589,197,,sess_589_4508,2025-12-03T15:59:28+00:00,"{""category_id"":7,""source"":""catalog""}"
142,CatalogViewed,223,1197,,sess_223_9853,2025-12-03T16:04:50+00:00,"{""category_id"":22,""source"":""catalog""}"
143,RecommendationClicked,312,1088,,sess_312_8638,2025-12-03T16:09:05+00:00,"{""action"":""click"",""request_id"":1091}"
144,CatalogViewed,398,507,,sess_398_8532,2025-12-03T16:13:07+00:00,"{""category_id"":7,""source"":""catalog""}"
145,RecommendationClicked,410,798,,sess_410_2713,2025-12-03T16:16:26+00:00,"{""action"":""click"",""request_id"":948}"
146,CatalogViewed,142,287,,sess_142_1182,2025-12-03T16:19:20+00:00,"{""category_id"":10,""source"":""catalog""}"
147,RecommendationClicked,529,96,,sess_529_2348,2025-12-03T16:33:55+00:00,"{""action"":""click"",""request_id"":940}"
148,RecommendationClicked,470,277,,sess_470_5272,2025-12-03T16:48:16+00:00,"{""action"":""click"",""request_id"":1009}"
149,CatalogViewed,314,17,,sess_314_2075,2025-12-03T16:51:58+00:00,"{""category_id"":8,""source"":""catalog""}"
150,RecommendationClicked,526,1166,,sess_526_8064,2025-12-03T16:52:27+00:00,"{""action"":""click"",""request_id"":323}"
151,OrderCreated,58,,500189,,2025-12-03T16:54:58+00:00,"{""currency"":""RUB"",""items"":[{""item_id"":122,""price"":""60065.60"",""qty"":1}],""total"":""60065.60""}"
152,RecommendationClicked,294,771,,sess_294_2596,2025-12-03T17:07:38+00:00,"{""action"":""click"",""request_id"":253}"
153,CatalogViewed,409,437,,sess_409_7465,2025-12-03T17:10:48+00:00,"{""category_id"":17,""source"":""catalog""}"
154,RecommendationClicked,508,675,,sess_508_8480,2025-12-03T17:26:29+00:00,"{""action"":""click"",""request_id"":1106}"
155,CatalogViewed,507,64,,sess_507_7207,2025-12-03T17:28:03+00:00,"{""category_id"":17,""source"":""catalog""}"
156,CatalogViewed,350,437,,sess_350_9966,2025-12-03T17:37:13+00:00,"{""category_id"":17,""source"":""catalog""}"
157,AddToCart,71,998,,sess_71_3192,2025-12-03T17:50:28+00:00,"{""price"":""27760.22"",""quantity"":2}"
158,RecommendationDisliked,176,691,,sess_176_6644,2025-12-03T17:54:57+00:00,"{""action"":""dislike"",""request_id"":752}"
159,OrderCreated,497,,500071,,2025-12-03T18:08:19+00:00,"{""currency"":""RUB"",""items"":[{""item_id"":792,""price"":""10123.03"",""qty"":1},{""item_id"":590,""price"":""17544.95"",""qty"":1},{""item_id"":592,""price"":""21270.58"",""qty"":2}],""total"":""70209.14""}"
160,RecommendationClicked,508,326,,sess_508_4719,2025-12-03T18:09:21+00:00,"{""action"":""click"",""request_id"":1106}"
161,RecommendationClicked,492,1163,,sess_492_3295,2025-12-03T18:16:52+00:00,"{""action"":""click"",""request_id"":1451}"
162,CatalogViewed,477,264,,sess_477_2514,2025-12-03T18:34:42+00:00,"{""category_id"":16,""source"":""catalog""}"
163,AddToCart,368,246,,sess_368_5302,2025-12-03T18:43:37+00:00,"{""price"":""7092.35"",""quantity"":3}"
164,CatalogViewed,39,278,,sess_39_2368,2025-12-03T19:09:19+00:00,"{""category_id"":24,""source"":""catalog""}"
165,OrderCreated,343,,500394,,2025-12-03T19:24:44+00:00,"{""currency"":""RUB"",""items"":[{""item_id"":1047,""price"":""298.53"",""qty"":2},{""item_id"":461,""price"":""5291.36"",""qty"":2},{""item_id"":1178,""price"":""24159.16"",""qty"":1}],""total"":""35338.94""}"
166,RecommendationDisliked,590,612,,sess_590_5460,2025-12-03T19:36:37+00:00,"{""action"":""dislike"",""request_id"":492}"
167,OrderPaid,343,,500394,,2025-12-03T19:44:44+00:00,"{""items"":[{""item_id"":1047,""price"":""298.53"",""qty"":2},{""item_id"":461,""price"":""5291.36"",""qty"":2},{""item_id"":1178,""price"":""24159.16"",""qty"":1}],""payment_method"":""wallet"",""total"":""35338.94""}"
168,CatalogViewed,330,104,,sess_330_8890,2025-12-03T19:46:57+00:00,"{""category_id"":1,""source"":""catalog""}"
169,RecommendationShown,327,,,sess_327_6884,2025-12-03T20:05:16+00:00,"{""context"":""catalog"",""items"":[302,1045,272,334,810,942,614,130,707,713],""model_version"":""recs_rank_v8"",""request_id"":353}"
170,RecommendationShown,473,,,sess_473_2787,2025-12-03T20:07:42+00:00,"{""context"":""catalog"",""items"":[61,366,363,1060,1094,113,646,756,779,603],""model_version"":""recs_rank_v6"",""request_id"":1052}"
171,RecommendationShown,3,,,sess_3_8097,2025-12-03T20:16:52+00:00,"{""context"":""cart"",""items"":[6,59,1141,538,966,985,768,723,1135,292],""model_version"":""recs_rank_v6"",""request_id"":1169}"
172,RecommendationClicked,594,692,,sess_594_8723,2025-12-03T20:46:06+00:00,"{""action"":""click"",""request_id"":185}"
173,RecommendationShown,88,354,,sess_88_2240,2025-12-03T20:46:20+00:00,"{""context"":""item"",""items"":[808,496,1171,20,906,180,435,794,118,215],""model_version"":""recs_rank_v8"",""request_id"":605}"
174,OrderPaid,279,,500367,,2025-12-03T22:12:57+00:00,"{""items"":[{""item_id"":96,""price"":""67079.31"",""qty"":1},{""item_id"":570,""price"":""55303.41"",""qty"":2},{""item_id"":855,""price"":""24768.27"",""qty"":1},{""item_id"":175,""price"":""13671.52"",""qty"":1}],""payment_method"":""card"",""total"":""216125.92""}"
175,RecommendationClicked,246,146,,sess_246_7125,2025-12-03T22:25:03+00:00,"{""action"":""click"",""request_id"":1276}"
176,CatalogViewed,460,526,,sess_460_9259,2025-12-03T22:39:12+00:00,"{""category_id"":7,""source"":""catalog""}"
177,RecommendationShown,3,341,,sess_3_8384,2025-12-03T22:53:34+00:00,"{""context"":""cart"",""items"":[907,1183,1103,670,643,1087,855,200,1040,191],""model_version"":""recs_rank_v7"",""request_id"":469}"
178,CatalogViewed,554,912,,sess_554_4699,2025-12-03T22:59:00+00:00,"{""category_id"":8,""source"":""catalog""}"
179,RecommendationDisliked,23,920,,sess_23_3052,2025-12-03T23:04:18+00:00,"{""action"":""dislike"",""request_id"":1060}"
180,CatalogViewed,509,733,,sess_509_3877,2025-12-03T23:14:05+00:00,"{""category_id"":22,""source"":""catalog""}"
181,CatalogViewed,310,809,,sess_310_1621,2025-12-03T23:15:45+00:00,"{""category_id"":23,""source"":""catalog""}"
