user_id,updated_at,category_counts,brand_counts,avg_check,last_k_items,last_active_ts
14,2026-01-15T00:15:58+00:00,"{""1"":133,""23"":48,""5"":39}","{""Optima"":114,""Smarton"":49,""UrbanFit"":87,""Vertex"":80,""Volna"":73}",61890.03,"[399,784,976,1188,656]",2026-01-16T20:05:55+00:00
15,2026-02-20T15:52:20+00:00,"{""10"":83,""22"":80,""23"":33,""6"":127}","{""Crafto"":72,""Foxly"":53,""Futura"":8}",37853.81,"[426,296,398,272,711,378,1199,109]",2026-02-18T16:43:07+00:00
16,2026-02-28T09:48:43+00:00,"{""14"":143,""17"":73,""18"":157}","{""NordLine"":57,""SilverBox"":59,""Volna"":67}",,"[316,709,706,771,1033,460,584,944,221]",2026-02-23T15:42:27+00:00
17,2026-01-28T15:17:33+00:00,"{""19"":149,""2"":44,""23"":80}","{""Brisk"":85,""Futura"":7,""PrimeTech"":81}",42548.14,"[462,1077,169,925,187]",2026-02-24T08:51:03+00:00
18,2025-12-07T03:49:48+00:00,"{""13"":142,""16"":70,""2"":154,""22"":80,""4"":118,""6"":94}","{""Aster"":29,""Futura"":49,""HomeArt"":111,""Orion"":52,""UrbanFit"":95}",10368.04,"[732,954,429,832,319,844,1147,589,383,1155]",2026-02-22T02:10:38+00:00
19,2026-01-20T10:43:49+00:00,"{""12"":106,""4"":105,""6"":135,""7"":50}","{""Aster"":112,""Brisk"":37,""Futura"":14,""Optima"":68}",20982.32,"[2,74,400,61,1176]",2026-01-21T08:18:54+00:00
20,2026-01-11T20:29:10+00:00,"{""13"":118,""24"":151,""6"":69,""7"":28}","{""Lira"":7,""NordLine"":99,""Vertex"":68}",30185.74,"[789,1139,437,1,719,1041,762,900]",2026-02-23T05:07:56+00:00
21,2026-02-12T13:59:30+00:00,"{""17"":109,""18"":96,""22"":98,""24"":130,""4"":129,""9"":126}","{""Brisk"":107,""MobiPro"":115,""SilverBox"":56}",18593.27,"[8,639,230,1032,210,609,583,1042,216,405,40,495]",2026-02-06T04:58:51+00:00
22,2025-12-08T00:36:27+00:00,"{""13"":130,""15"":53,""23"":98,""24"":52}","{""Futura"":94,""NordLine"":13,""Rivex"":92}",30079.32,"[1018,30,124,1180,354,996]",2025-12-21T20:11:52+00:00
23,2026-01-16T06:58:13+00:00,"{""10"":33,""11"":69,""16"":70,""21"":140,""7"":155,""8"":150}","{""Foxly"":65,""MobiPro"":98,""UrbanFit"":96,""Vertex"":69}",,"[1181,764,283,90,1118,743,841,252,628,1063,742]",2026-01-22T22:37:09+00:00
24,2025-12-13T16:02:39+00:00,"{""21"":85,""22"":157,""3"":121,""4"":52}","{""Futura"":79,""PrimeTech"":9,""TrueSound"":72,""UrbanFit"":61}",20330.65,"[249,987,1163,879,241,588,1089,575,314,1047,187]",2026-03-01T09:04:06+00:00
25,2026-02-16T09:41:11+00:00,"{""21"":18,""3"":117,""6"":13,""9"":47}","{""Crafto"":65,""SilverBox"":116,""Vertex"":2,""Volna"":85}",14267.32,"[32,469,903,459,630]",2026-02-13T03:03:27+00:00
26,2026-02-08T10:44:34+00:00,"{""1"":85,""3"":17,""8"":25,""9"":128}","{""CleverBee"":73,""Lumen"":21,""MobiPro"":48,""Orion"":107,""Rivex"":38,""SilverBox"":100}",23760.67,"[795,113,378,846,1012]",2026-02-04T15:37:57+00:00
27,2025-12-22T17:00:21+00:00,"{""1"":75,""17"":82,""19"":96}","{""Optima"":52,""Rivex"":93,""Smarton"":40,""UrbanFit"":60}",46329.67,"[538,1100,1049,800,587,650,597,1032,1111,780]",2025-12-18T06:20:44+00:00
28,2026-02-08T02:31:11+00:00,"{""1"":17,""19"":101,""20"":93,""24"":73,""6"":119}","{""AquaLeaf"":86,""Aster"":85,""NordLine"":87,""SilverBox"":11,""Terra"":47}",27682.86,"[902,520,737,493,397,185,846,993,479,676,789]",2026-02-24T09:15:04+00:00
29,2026-02-11T11:10:23+00:00,"{""10"":133,""13"":160,""20"":46,""22"":99,""24"":31,""8"":16,""9"":30}","{""NordLine"":104,""Orion"":82,""TrueSound"":73}",,"[793,360,323,878,452]",2026-02-16T12:45:58+00:00
30,2025-12-23T22:15:41+00:00,"{""1"":155,""11"":156,""14"":35,""2"":159,""20"":71,""23"":110,""3"":99}","{""Neonix"":11,""PixelWay"":25,""Rivex"":117}",11771.13,"[340,1182,311,796,1059,143]",2026-01-15T16:47:52+00:00
31,2025-12-07T12:54:22+00:00,"{""12"":17,""13"":22,""19"":127,""2"":99,""20"":79,""21"":30,""24"":49}","{""Crafto"":65,""Neonix"":70,""NordLine"":15,""Volna"":101}",5242.63,"[174,837,896,78,978,586,209,160]",2025-12-14T18:33:34+00:00
32,2025-12-13T00:17:04+00:00,"{""18"":41,""4"":10,""9"":134}","{""Brisk"":94,""HomeArt"":46,""TrueSound"":12}",50357.09,"[1039,66,374,858,560]",
33,2026-01-17T00:51:08+00:00,"{""12"":150,""14"":37,""19"":95,""3"":42,""5"":112,""8"":75}","{""Brisk"":109,""Crafto"":37,""HomeArt"":64,""Lira"":120,""Rivex"":38,""SilverBox"":43}",61328.33,"[281,617,453,806,1023]",2026-01-16T19:03:58+00:00
34,2026-02-01T19:11:21+00:00,"{""10"":86,""14"":62,""19"":78,""5"":147,""9"":63}","{""Foxly"":26,""Lumen"":48,""PrimeTech"":118}",38899.30,"[225,122,580,1076,121]",2026-02-14T14:01:23+00:00
35,2026-01-21T03:42:25+00:00,"{""14"":115,""21"":11,""8"":96,""9"":90}","{""Foxly"":9,""Futura"":57,""PixelWay"":56,""Rivex"":40,""Smarton"":48,""TrueSound"":52}",,"[827,1141,567,408,463,94,285,377,200,677]",2026-01-17T15:55:55+00:00
36,2026-02-18T11:18:04+00:00,"{""10"":52,""16"":55,""19"":4}","{""PixelWay"":23,""PrimeTech"":27,""Rivex"":68,""SilverBox"":91}",56499.76,"[198,25,572,484,91]",2026-02-21T09:30:59+00:00
37,2026-01-10T16:40:28+00:00,"{""11"":109,""15"":140,""16"":98,""20"":110,""21"":42,""3"":45,""9"":63}","{""CleverBee"":72,""Futura"":115,""NordLine"":75,""PrimeTech"":38,""Rivex"":60}",59843.59,"[1131,378,847,144,536]",
38,2026-01-25T11:11:47+00:00,"{""15"":63,""17"":74,""2"":74}","{""HomeArt"":36,""NordLine"":99,""Optima"":116,""PixelWay"":35,""Rivex"":61,""TrueSound"":11}",47660.93,"[4,1110,832,153,518,410]",2026-02-09T19:42:06+00:00
39,2026-02-13T13:27:48+00:00,"{""11"":154,""16"":117,""23"":95,""3"":119,""7"":15}","{""Lira"":33,""Neonix"":120,""Volna"":32}",,"[614,119,99,18,347,433,39,846]",2026-02-25T13:14:20+00:00
40,2026-01-10T00:10:42+00:00,"{""1"":26,""10"":73,""2"":47,""21"":137}","{""AquaLeaf"":96,""NordLine"":82,""Orion"":39,""PixelWay"":108,""SilverBox"":4,""UrbanFit"":118}",59726.65,"[1051,179,550,316,659,53,942,484,184]",2026-02-27T11:06:08+00:00
41,2026-02-25T02:35:05+00:00,"{""10"":106,""14"":127,""15"":108,""16"":85,""21"":128,""8"":83,""9"":53}","{""Futura"":12,""Neonix"":39,""Orion"":94,""SilverBox"":70,""TrueSound"":109}",31303.94,"[593,188,830,136,1048,1075,441,428,252,649,1156,277]",2026-02-27T23:06:07+00:00
42,2026-01-25T17:31:21+00:00,"{""13"":134,""18"":104,""21"":112,""22"":95,""4"":136}","{""Aster"":67,""HomeArt"":28,""NordLine"":100,""Smarton"":53}",2239.98,"[707,421,764,985,450,141,796,564,1072]",
43,2026-01-31T18:28:00+00:00,"{""10"":87,""12"":16,""13"":26,""20"":7,""21"":38,""6"":133,""7"":82}","{""CleverBee"":27,""Lira"":15}",30167.01,"[815,1196,849,234,181,964,102,602,330,1018]",2026-02-25T07:47:38+00:00
44,2026-01-13T06:32:59+00:00,"{""11"":119,""13"":46,""14"":62,""19"":101,""22"":41}","{""CleverBee"":60,""Foxly"":77,""SilverBox"":67}",,"[1197,597,171,170,1092,793,456,204,147,789]",2026-02-07T08:50:51+00:00
45,2026-02-06T03:15:06+00:00,"{""15"":95,""19"":123,""22"":12,""5"":151,""6"":25}","{""AquaLeaf"":14,""Crafto"":12,""Lumen"":51,""PrimeTech"":88,""UrbanFit"":114,""Volna"":43}",17018.10,"[788,504,284,808,390,991,873]",2026-02-13T13:02:09+00:00
46,2026-01-28T12:39:45+00:00,"{""16"":111,""18"":145,""19"":73,""23"":158}","{""Lira"":92,""MobiPro"":119,""Terra"":46,""UrbanFit"":21}",61894.02,"[39,590,222,1188,451,117,429,191]",2026-02-25T23:44:38+00:00
47,2026-02-17T21:45:15+00:00,"{""2"":85,""21"":129,""22"":78,""7"":61}","{""Brisk"":6,""HomeArt"":108,""Lumen"":72,""Vertex"":2}",32586.09,"[1109,1050,42,1118,63,402,72,459,323,482,132]",2026-02-23T01:04:40+00:00
48,2026-01-06T01:15:37+00:00,"{""15"":9,""18"":132,""2"":67}","{""Aster"":54,""HomeArt"":86,""Orion"":118,""Rivex"":115,""Smarton"":77}",,"[267,807,988,1003,768,1137]",2026-02-24T21:25:01+00:00
49,2025-12-08T21:13:08+00:00,"{""11"":71,""12"":158,""7"":124,""8"":10,""9"":20}","{""Futura"":82,""Neonix"":100,""NordLine"":118,""PixelWay"":86}",36653.82,"[1118,852,723,771,22,343,1090]",2026-01-22T23:08:30+00:00
50,2026-02-20T17:40:17+00:00,"{""10"":87,""14"":155,""16"":126,""17"":89}","{""NordLine"":9,""PixelWay"":34,""PrimeTech"":44,""Terra"":49}",1634.34,"[67,393,1193,462,1070,817,526,560,913,1046,73,721]",2026-03-01T01:21:33+00:00
51,2026-02-06T22:19:19+00:00,"{""4"":51,""6"":134,""7"":159}","{""Brisk"":24,""Futura"":4,""PixelWay"":88}",,"[1007,167,618,825,632,499,36,748,174]",2026-02-04T11:43:49+00:00
52,2025-12-06T03:12:42+00:00,"{""1"":98,""12"":34,""13"":156,""20"":18,""3"":42}","{""Terra"":107,""Vertex"":43}",,"[510,285,22,116,517,709,683,249,51,349,178]",2025-12-21T11:25:01+00:00
53,2026-02-24T16:37:25+00:00,"{""11"":61,""18"":23,""8"":146,""9"":6}","{""CleverBee"":112,""Optima"":105,""Volna"":39}",51289.53,"[4,823,175,273,463,596,609,790,178]",2026-02-20T07:54:22+00:00
54,2026-01-01T19:21:23+00:00,"{""10"":133,""17"":19,""20"":160,""23"":40,""3"":43}","{""Brisk"":28,""Futura"":27,""Lumen"":52,""SilverBox"":86}",,"[467,158,397,1,601,462,361,1018,337,865,403,793]",2026-02-27T01:51:26+00:00
55,2026-01-25T00:53:25+00:00,"{""12"":69,""2"":156,""23"":43,""5"":113,""7"":5}","{""Foxly"":21,""Rivex"":75,""Volna"":103}",17185.51,"[564,983,956,235,667,1058,729,1184,992,588,890]",2026-01-29T07:02:07+00:00
56,2026-02-09T00:15:49+00:00,"{""1"":14,""11"":147,""12"":121,""13"":34,""14"":60,""23"":75,""3"":60}","{""Aster"":47,""CleverBee"":11,""Lira"":49,""Lumen"":46,""Optima"":101,""Volna"":14}",35847.65,"[1148,636,238,1067,547,393,959,414,349,54,1190]",2026-02-21T21:16:56+00:00
57,2026-01-30T22:50:33+00:00,"{""13"":91,""2"":49,""20"":11,""21"":57}","{""Brisk"":6,""NordLine"":79,""Optima"":61,""Rivex"":59,""SilverBox"":19,""Terra"":92}",41598.33,"[752,811,1116,530,593,1058,1187]",2026-01-31T22:50:20+00:00
58,2025-12-16T20:48:16+00:00,"{""13"":82,""24"":85,""8"":133}","{""AquaLeaf"":58,""Aster"":36,""Crafto"":56,""Orion"":102,""Terra"":102}",4933.49,"[847,236,128,677,933,10,547,1037,838]",2026-02-23T11:13:41+00:00
59,2026-01-23T17:06:19+00:00,"{""10"":139,""12"":67,""14"":103,""17"":74,""2"":36,""7"":56}","{""Futura"":38,""HomeArt"":40,""MobiPro"":8}",,"[1025,175,95,355,490,425,535,729,972,1179]",
60,2026-01-23T01:33:30+00:00,"{""12"":35,""2"":101,""3"":119,""6"":28,""7"":102,""8"":16}","{""Brisk"":117,""CleverBee"":19,""Smarton"":110,""TrueSound"":16}",23912.00,"[752,1068,275,854,739,552,830]",2026-01-27T20:13:01+00:00
61,2025-12-13T12:01:22+00:00,"{""11"":81,""14"":30,""18"":82,""20"":146,""4"":50,""7"":48,""9"":135}","{""AquaLeaf"":13,""Lumen"":47,""MobiPro"":111,""Neonix"":57,""PixelWay"":80,""Rivex"":39}",19582.70,"[227,808,274,136,434,839,230,816]",2026-01-09T16:47:51+00:00
62,2025-12-08T01:26:39+00:00,"{""12"":98,""19"":124,""2"":156,""23"":75,""4"":100,""6"":122}","{""Foxly"":64,""NordLine"":101,""Volna"":108}",13291.12,"[632,220,432,422,324]",2026-01-30T07:13:10+00:00
63,2026-01-22T17:01:00+00:00,"{""10"":41,""12"":92,""13"":114,""20"":63,""24"":13}","{""Crafto"":48,""Foxly"":74,""NordLine"":31,""PixelWay"":79,""PrimeTech"":94,""Smarton"":49}",,"[228,1019,619,847,901,1133,640,965,486,716,1184,7]",2026-02-08T08:09:07+00:00
64,2025-12-17T10:36:01+00:00,"{""20"":113,""21"":29,""5"":139}","{""CleverBee"":70,""Neonix"":11,""Smarton"":100,""Vertex"":100,""Volna"":29}",60924.32,"[483,734,1141,1191,818,162,349,666,157,274,858,899]",2025-12-23T21:52:27+00:00
65,2025-12-17T04:33:41+00:00,"{""11"":88,""15"":51,""23"":87,""24"":44,""4"":99,""7"":70}","{""Lira"":40,""Neonix"":62,""NordLine"":19,""SilverBox"":102,""Smarton"":46,""TrueSound"":9}",39422.66,"[493,424,370,78,871,950]",2025-12-12T04:50:02+00:00
66,2026-02-26T13:16:31+00:00,"{""11"":158,""12"":89,""13"":115,""14"":43,""16"":10,""18"":123,""3"":66}","{""AquaLeaf"":12,""Brisk"":53,""TrueSound"":37,""UrbanFit"":116,""Vertex"":51}",31288.11,"[161,43,623,148,473,884]",2026-02-21T00:25:33+00:00
67,2025-12-11T00:14:26+00:00,"{""10"":132,""13"":111,""16"":99,""23"":157,""7"":111,""9"":122}","{""Aster"":64,""Crafto"":120,""Foxly"":2,""TrueSound"":86,""Volna"":46}",45136.31,"[765,1112,1119,576,224,105,179,734,773,544,975,1007]",2026-01-19T00:56:21+00:00
68,2026-01-09T00:00:04+00:00,"{""13"":36,""16"":138,""17"":145,""20"":27,""24"":86,""3"":140}","{""CleverBee"":85,""PixelWay"":86,""Terra"":109}",39094.96,"[452,549,951,14,1041,721,553,159,391,971,547]",2026-01-29T21:19:45+00:00
69,2026-02-23T19:12:41+00:00,"{""1"":121,""12"":49,""21"":28,""23"":124,""4"":84,""8"":137}","{""Futura"":14,""NordLine"":116,""Rivex"":21,""TrueSound"":113}",34001.99,"[649,295,648,932,1035,640,691,285,286,743]",2026-02-22T13:56:28+00:00
70,2025-12-12T02:00:41+00:00,"{""21"":111,""3"":34,""6"":41,""8"":6}","{""AquaLeaf"":72,""Brisk"":36,""Lumen"":47,""Rivex"":117,""Vertex"":116,""Volna"":71}",38711.48,"[1153,1079,1194,1110,384,301,680,974,154,284,165,139]",2026-01-16T19:24:11+00:00
71,2026-02-27T07:11:00+00:00,"{""10"":31,""20"":28,""3"":151,""4"":148,""5"":37,""8"":147,""9"":60}","{""Brisk"":63,""NordLine"":26,""Terra"":6}",60736.03,"[638,20,267,1083,228,560,952,69]",2026-02-28T09:05:02+00:00
72,2025-12-16T08:39:03+00:00,"{""15"":86,""16"":153,""2"":92,""20"":96,""21"":92,""5"":77,""7"":8}","{""AquaLeaf"":55,""Brisk"":15,""HomeArt"":117,""Smarton"":51,""TrueSound"":114}",3116.20,"[170,65,864,469,1141,967,688,717,1159,705]",2026-01-11T22:23:15+00:00
73,2026-01-29T06:05:27+00:00,"{""13"":71,""20"":151,""22"":137,""24"":49,""4"":92,""6"":4}","{""CleverBee"":14,""Lira"":74,""Neonix"":107,""Orion"":43,""Rivex"":94}",6496.33,"[187,839,609,1080,558,73,381,338,232,914,649]",2026-02-17T12:51:56+00:00
74,2026-01-21T01:39:39+00:00,"{""10"":107,""12"":59,""19"":88,""3"":123,""6"":6}","{""Crafto"":49,""Lira"":67,""Volna"":43}",5873.84,"[892,1181,1199,1026,917,533]",2026-01-20T12:06:18+00:00
75,2025-12-10T09:08:44+00:00,"{""11"":157,""20"":158,""23"":85,""7"":21}","{""Brisk"":84,""Lumen"":23,""Orion"":64,""SilverBox"":87,""Smarton"":8,""UrbanFit"":80}",34047.29,"[218,11,814,574,956,999,955,231,548]",2025-12-22T14:25:13+00:00
76,2026-01-09T16:32:47+00:00,"{""14"":111,""15"":80,""18"":140,""21"":84,""23"":112,""3"":42}","{""Crafto"":105,""HomeArt"":99,""Lumen"":41,""Terra"":41}",,"[698,208,984,431,1052,929]",2026-01-10T11:58:27+00:00
77,2025-12-15T01:43:18+00:00,"{""10"":123,""13"":31,""16"":13,""2"":137,""21"":34,""23"":130,""7"":42}","{""CleverBee"":14,""Lumen"":40,""TrueSound"":94}",26278.91,"[449,1200,1026,1129,252,1134,71]",2026-01-23T07:17:51+00:00
78,2026-01-23T03:06:28+00:00,"{""10"":114,""17"":44,""18"":79,""23"":80,""3"":127,""4"":100,""8"":133}","{""Lira"":66,""PrimeTech"":64}",50043.37,"[965,1027,264,189,174,505,650,489,1187,137,822]",2026-02-28T11:31:26+00:00
79,2026-01-21T23:35:39+00:00,"{""14"":25,""16"":7,""23"":54}","{""Aster"":2,""Foxly"":11,""TrueSound"":8,""UrbanFit"":12}",43033.56,"[1103,754,475,40,548,851,472]",
80,2025-12-18T02:04:02+00:00,"{""11"":6,""13"":65,""22"":109,""3"":19}","{""AquaLeaf"":69,""MobiPro"":18,""NordLine"":102}",25272.08,"[1118,301,712,820,1196,199,698,453,95,357,123,342]",2026-01-22T17:31:38+00:00
81,2026-02-20T01:40:30+00:00,"{""13"":159,""17"":142,""23"":4,""5"":96,""8"":47,""9"":52}","{""Crafto"":53,""Neonix"":105,""PixelWay"":57,""PrimeTech"":65,""Volna"":106}",57507.74,"[751,477,359,1154,362,1106,613,172,873]",2026-02-26T08:26:17+00:00
82,2026-01-19T05:37:28+00:00,"{""11"":74,""17"":9,""22"":133,""3"":87,""6"":122,""8"":135,""9"":77}","{""Lumen"":100,""Vertex"":105}",50419.42,"[223,772,899,202,374,748,1]",2026-01-31T07:33:33+00:00
83,2026-02-04T17:48:15+00:00,"{""1"":120,""13"":64,""4"":43}","{""Aster"":66,""Foxly"":106,""NordLine"":34,""PixelWay"":11,""UrbanFit"":103}",1780.49,"[905,1052,885,609,942]",2026-02-04T16:03:30+00:00
84,2025-12-23T22:21:04+00:00,"{""1"":75,""18"":30,""21"":30,""22"":94,""4"":140}","{""AquaLeaf"":35,""Brisk"":32,""Neonix"":66,""Rivex"":86,""Vertex"":18,""Volna"":18}",46846.62,"[518,507,1191,1129,420,324,284,960,739,672,807,697]",2025-12-22T13:56:44+00:00
85,2025-12-03T22:14:56+00:00,"{""12"":42,""14"":126,""15"":58,""16"":73,""2"":21,""24"":78,""6"":85}","{""Foxly"":59,""MobiPro"":105,""UrbanFit"":44}",20737.50,"[23,687,849,868,446,101,639,247,1064,530,504,208]",2026-01-05T20:06:39+00:00
86,2026-02-16T07:30:27+00:00,"{""18"":31,""19"":141,""2"":126,""21"":90,""22"":8,""3"":128,""6"":22}","{""HomeArt"":40,""Lira"":18,""NordLine"":57,""PixelWay"":95}",59957.75,"[606,309,278,333,411,1152,179,46,370,549]",2026-02-23T09:33:44+00:00
87,2026-02-21T10:26:59+00:00,"{""12"":45,""13"":5,""22"":159,""3"":129,""5"":115,""7"":127}","{""Aster"":17,""MobiPro"":100,""Vertex"":25,""Volna"":114}",39895.52,"[324,1199,124,1084,314,872,736,826]",2026-02-17T20:14:53+00:00
88,2026-02-08T10:30:39+00:00,"{""1"":28,""18"":69,""20"":148,""6"":153}","{""Foxly"":73,""MobiPro"":9,""Rivex"":113,""TrueSound"":86,""Volna"":118}",44012.82,"[539,527,954,751,509,782,677,612,758,690,65,1193]",
89,2026-01-10T11:05:41+00:00,"{""14"":14,""15"":106,""17"":106,""21"":140,""22"":28,""24"":146,""7"":64}","{""MobiPro"":8,""Orion"":63,""Smarton"":24}",54749.54,"[691,978,71,316,578,318,193]",2026-01-24T13:58:31+00:00
90,2026-02-08T15:31:39+00:00,"{""1"":103,""14"":47,""17"":116,""18"":146,""23"":134,""3"":6,""4"":67}","{""Brisk"":93,""Crafto"":59,""Orion"":37}",56528.01,"[579,1082,167,680,398,344,1125,638,533,297,53,668]",2026-02-24T04:14:01+00:00
91,2025-12-18T05:22:22+00:00,"{""13"":142,""4"":143,""7"":47}","{""Aster"":93,""CleverBee"":59,""Lira"":74,""SilverBox"":75}",12263.52,"[1054,409,526,66,71,470,497,950,294,665]",
92,2025-12-13T08:46:19+00:00,"{""12"":82,""23"":86,""3"":9,""6"":83,""7"":128}","{""Futura"":39,""HomeArt"":119,""PrimeTech"":45,""Terra"":19}",21563.41,"[137,69,15,885,254,800]",2026-01-20T05:24:06+00:00
93,2026-01-18T21:21:36+00:00,"{""17"":90,""2"":13,""22"":85,""3"":152,""4"":113,""8"":21}","{""CleverBee"":46,""Lumen"":120,""Smarton"":27,""Vertex"":46}",35058.52,"[917,389,417,1063,364,38,1055,491,541,1059,654]",2026-01-15T04:12:04+00:00
94,2025-12-26T11:23:25+00:00,"{""13"":79,""15"":10,""16"":149,""23"":61}","{""Aster"":67,""Brisk"":106,""CleverBee"":77,""Futura"":101,""Smarton"":65}",30858.18,"[953,961,405,137,915,3,89,627]",2026-01-16T11:51:53+00:00
95,2025-12-23T16:45:17+00:00,"{""1"":57,""10"":138,""12"":50,""14"":157,""22"":48,""23"":17,""7"":23}","{""CleverBee"":27,""Futura"":41,""Lira"":61}",61537.40,"[1150,646,5,1086,574,419,504]",
96,2026-02-11T19:40:21+00:00,"{""1"":58,""10"":159,""18"":34,""8"":102}","{""Aster"":73,""Rivex"":85,""Terra"":79,""UrbanFit"":83}",,"[133,556,1073,391,853]",2026-02-06T12:08:10+00:00
97,2026-02-15T21:17:21+00:00,"{""11"":26,""2"":46,""24"":87,""5"":13,""7"":53}","{""CleverBee"":26,""Foxly"":21,""Futura"":71,""Lumen"":64,""MobiPro"":14}",50021.02,"[663,940,821,481,619,597]",2026-02-15T18:59:20+00:00
98,2026-02-27T06:20:04+00:00,"{""11"":85,""12"":85,""15"":121,""20"":138,""5"":142,""7"":78}","{""CleverBee"":78,""Foxly"":97,""Lira"":116,""NordLine"":109,""Smarton"":86}",52264.12,"[1001,281,243,395,1085,722,682,919,197,330,291,146]",2026-02-26T07:42:22+00:00
99,2025-12-06T11:27:21+00:00,"{""11"":49,""21"":66,""6"":117}","{""Aster"":4,""Crafto"":117,""Optima"":89}",54253.23,"[514,81,1032,589,207]",2025-12-26T18:42:54+00:00
100,2025-12-20T13:39:13+00:00,"{""15"":147,""2"":128,""9"":67}","{""Lumen"":51,""PrimeTech"":107,""Smarton"":25,""UrbanFit"":71}",5924.89,"[187,1001,120,229,1162,475,933,1059,1113,493,1015]",2026-01-17T18:57:50+00:00
101,2025-12-26T07:57:29+00:00,"{""10"":41,""13"":17,""18"":131,""2"":128,""6"":46,""8"":30,""9"":4}","{""CleverBee"":36,""NordLine"":79,""Optima"":106,""Terra"":5,""Volna"":62}",,"[253,628,156,904,777,469,282,466,348,990]",2026-01-26T02:28:15+00:00
102,2025-12-11T14:42:47+00:00,"{""15"":152,""18"":105,""20"":92,""23"":8,""24"":69,""3"":16}","{""Brisk"":106,""Neonix"":115,""SilverBox"":116,""Volna"":68}",35927.91,"[574,1097,188,859,613,1129,1005,696,302,537,112,212]",2026-02-22T07:21:00+00:00
103,2026-01-01T07:19:49+00:00,"{""16"":64,""17"":10,""19"":28,""23"":74,""3"":117,""4"":72,""8"":81}","{""Brisk"":35,""MobiPro"":18,""Terra"":18,""Vertex"":119}",37041.62,"[412,638,811,696,1174,521,1157,88,1101]",2026-01-25T07:46:19+00:00
